customer_id,first_name,surname,age,sex,ethnicity,region_key,postcode_area,prior_sector,uc_months_at_start,barriers,barriers_count,disability_or_health,digital_skills,preferred_channel,adviser_id,referred_date
CUS-00001,Mohammed,Ofori,29,M,Asian Pakistani,north-london,HA1,Hospitality,42,English language,1,false,High,push,ADV-0097,2026-03-28
CUS-00002,Tyrese,Hollis,45,M,Other White,wales,CF24,Cleaning / facilities,42,Physical health;Housing instability;Digital skills;Childcare cost,4,false,Medium,sms,ADV-0177,2026-01-01
CUS-00003,Aaron,Mahmood,36,M,Other White,south-east-london,E3,Warehouse / logistics,13,Housing instability;Criminal record;Physical health;Mental health,4,false,High,email,ADV-0237,2026-02-27
CUS-00004,Kwame,Taylor,37,M,Asian Pakistani,south-east-london,E3,Warehouse / logistics,25,Caring responsibilities,1,false,High,sms,ADV-0233,2025-12-07
CUS-00005,Bilal,Hussain,33,M,Mixed,derbyshire-notts,NG7,Warehouse / logistics,24,Transport cost,1,false,High,push,ADV-0112,2026-04-22
CUS-00006,Sade,Akin,27,F,Black Caribbean,south-east-london,E20,Retail,27,,0,false,Medium,sms,ADV-0054,2026-01-29
CUS-00007,Naomi,Lewis,33,F,Asian Pakistani,derbyshire-notts,NG18,Hospitality,29,Housing instability;Confidence;Criminal record;Childcare cost,4,true,Medium,sms,ADV-0048,2026-01-28
CUS-00008,Connor,O'Connor,41,M,White British,wales,CF24,Warehouse / logistics,17,Physical health;Criminal record;Caring responsibilities,3,true,Low,email,ADV-0136,2026-03-30
CUS-00009,Priya,Evans,32,F,Asian Indian,north-london,NW1,Hospitality,35,Mental health;Housing instability,2,false,Medium,push,ADV-0154,2025-10-04
CUS-00010,Folake,Evans,23,F,White British,south-yorkshire,S6,Driving,31,Housing instability;Physical health,2,false,High,push,ADV-0081,2026-03-08
CUS-00011,Sean,Adekoya,36,M,Black Caribbean,derbyshire-notts,DE22,Other,16,Digital skills,1,false,High,sms,ADV-0112,2025-12-04
CUS-00012,Folake,Taylor,51,F,White British,south-east-london,E6,Warehouse / logistics,49,Criminal record,1,true,High,push,ADV-0040,2026-05-12
CUS-00013,Aaron,Davies,35,M,Asian Indian,south-east-london,E13,Hospitality,11,Housing instability;Caring responsibilities,2,false,High,email,ADV-0090,2026-03-22
CUS-00014,Halima,Ahmed,38,F,Black Caribbean,south-east-london,SE15,Care / health,47,Caring responsibilities,1,false,Medium,sms,ADV-0041,2025-09-09
